group,queue
451,16.0
452,17.333333333333332
453,18.0
454,17.0
455,15.333333333333334
456,14.0
457,12.0
458,10.0
459,9.666666666666666
460,9.0
461,7.333333333333333
462,6.333333333333333
463,7.666666666666667
464,9.666666666666666
465,12.0
466,13.0
467,13.0
468,13.333333333333334
469,13.666666666666666
470,14.0
471,14.0
472,14.0
473,14.0
474,14.0
475,15.666666666666666
476,17.0
477,17.666666666666668
478,18.0
479,19.0
480,15.0
481,13.0
482,12.0
483,12.333333333333334
484,14.666666666666666
485,13.666666666666666
486,13.0
487,11.666666666666666
488,9.333333333333334
489,9.0
490,9.0
491,7.333333333333333
492,7.333333333333333
493,9.0
494,10.333333333333334
495,11.0
496,11.0
497,12.333333333333334
498,14.0
499,15.666666666666666
500,14.0
501,14.333333333333334
502,14.0
503,15.0
504,15.666666666666666
505,16.0
506,16.0
507,16.0
508,16.0
509,16.0
510,12.0
511,6.666666666666667
512,5.333333333333333
513,5.333333333333333
514,8.0
515,10.333333333333334
516,13.666666666666666
517,14.0
518,14.0
519,11.666666666666666
520,8.666666666666666
521,7.666666666666667
522,7.666666666666667
523,11.0
524,15.333333333333334
525,16.0
526,17.333333333333332
527,19.333333333333332
528,20.333333333333332
529,21.0
530,19.0
531,18.0
532,19.0
533,19.0
534,19.333333333333332
535,19.0
536,19.0
537,20.0
538,20.0
539,21.0
540,17.0
541,11.666666666666666
542,9.0
543,10.666666666666666
544,16.0
545,14.666666666666666
546,13.333333333333334
547,13.0
548,13.0
549,14.333333333333334
550,14.333333333333334
551,12.666666666666666
552,14.666666666666666
553,16.333333333333332
554,19.333333333333332
555,23.333333333333332
556,25.333333333333332
557,25.0
558,25.666666666666668
559,26.0
560,25.333333333333332
561,23.333333333333332
562,22.666666666666668
563,22.666666666666668
564,23.0
565,23.0
566,23.0
567,23.0
568,23.666666666666668
569,24.0
570,21.0
571,15.666666666666666
572,12.0
573,8.666666666666666
574,6.0
575,5.333333333333333
576,7.333333333333333
577,8.333333333333334
578,10.333333333333334
579,11.0
580,8.333333333333334
581,8.333333333333334
582,12.0
583,18.0
584,21.666666666666668
585,23.333333333333332
586,24.666666666666668
587,25.333333333333332
588,27.0
589,28.666666666666668
590,26.0
591,26.0
592,28.0
593,29.0
594,30.0
595,30.333333333333332
596,31.0
597,32.333333333333336
598,33.333333333333336
599,35.0
600,32.0
601,26.333333333333332
602,25.333333333333332
603,26.0
604,26.666666666666668
605,23.0
606,20.666666666666668
607,18.333333333333332
608,18.666666666666668
609,22.0
610,22.333333333333332
611,20.0
612,19.0
613,18.0
614,24.0
615,28.0
616,29.0
617,29.333333333333332
618,30.666666666666668
619,32.333333333333336
620,31.0
621,28.0
622,26.0
623,25.0
624,25.666666666666668
625,26.0
626,26.666666666666668
627,28.666666666666668
628,32.333333333333336
629,35.0
630,32.666666666666664
631,27.333333333333332
632,25.0
633,23.0
634,25.333333333333332
635,28.666666666666668
636,30.666666666666668
637,32.666666666666664
638,33.0
639,30.666666666666668
640,26.666666666666668
641,24.666666666666668
642,22.0
643,23.0
644,25.333333333333332
645,27.333333333333332
646,28.0
647,28.0
648,28.0
649,28.333333333333332
650,26.0
651,23.0
652,20.666666666666668
653,18.333333333333332
654,18.0
655,18.0
656,18.666666666666668
657,19.0
658,20.0
659,20.0
660,19.333333333333332
661,19.333333333333332
662,18.666666666666668
663,20.666666666666668
664,19.666666666666668
665,16.666666666666668
666,12.0
